,pm25,co2_pc,forest,gdp_pc,pop
1990,51.2032665473841,0.694451434874462,21.5048483278902,371.085936203765,864972221.0
1991,50.1661937890725,0.731259551121608,21.6277129951332,305.574055928592,883927600.0
1992,50.1221696951975,0.741625955705735,21.7505776623761,319.182472626315,902957070.0
1993,50.0781456013225,0.758847464560969,21.873442329619,302.884806246174,922118387.0
1994,50.0341215074474,0.790350655307367,21.996306996862,347.73421473994,941163767.0
1995,48.0040000846993,0.829370336496271,22.1191716641049,375.17600537305,960301044.0
1996,49.9460733196973,0.850777408846526,22.2420363313478,401.046754673579,979678458.0
1997,49.9020492258223,0.878441939789039,22.3649009985907,416.228116203753,999133762.0
1998,49.8580251319472,0.884093818156602,22.4877656658337,413.630864056851,1018665080.0
1999,49.8140010380722,0.926189927757172,22.6106303330766,441.927991436397,1038225823.0
2000,50.7630256086335,0.942309744278839,22.7334950003195,442.750218937263,1057922733.0
2001,50.4537854823933,0.939789720011458,22.7975675957473,450.357900514128,1077898575.0
2002,51.2544544512511,0.957620477500199,22.8616401911751,469.149928973927,1097600380.0
2003,52.5149836233186,0.969744882653011,22.9257127866029,544.143133545002,1116803006.0
2004,50.8446162251344,1.02822643182898,22.9897853820307,624.258826510066,1135991513.0
2005,51.3369278641143,1.05460489385527,23.0538579774586,710.488080408949,1154676322.0
2006,49.2546056005498,1.10810989189174,23.1179305728864,801.668353659022,1172878890.0
2007,49.4513350486064,1.18862350046436,23.1820031683142,1021.88707706826,1190676021.0
2008,51.2664820637014,1.25815998206335,23.246075763742,992.519584923828,1207930964.0
2009,52.2626731220367,1.32284533301467,23.3101483591698,1094.94974598436,1225524753.0
2010,51.7188200456979,1.39129863287623,23.3742209545976,1347.51939071367,1243481564.0
2011,55.0258281992835,1.46337391608571,23.4638216864714,1445.46127486037,1261224954.0
2012,53.0196291324327,1.57607553513255,23.5534224183453,1429.32199520032,1278674502.0
2013,52.2693789873114,1.59945855716817,23.6430231502191,1432.84397512195,1295829511.0
2014,51.6872206933655,1.70517686000076,23.732623882093,1553.88396075118,1312277191.0
2015,51.4355933740253,1.71550269097521,23.8222246139668,1583.99815907985,1328024498.0
2016,54.4218755239322,1.7202923565219,23.9116908102072,1707.50892912243,1343944296.0
2017,55.1724251484484,1.79545339877531,24.0014933455312,1950.10468280866,1359657400.0
2018,56.6795240921875,1.85989309419052,24.0909595417716,1966.25455171679,1374659064.0
2019,53.5981486621548,1.83688223212799,24.1807620770956,2041.42863698585,1389030312.0
2020,52.1933674059995,1.68040016064392,24.270228273336,1907.04251637669,1402617695.0
2021,55.6234726382873,1.83702951699406,24.3596944695764,2239.61384367482,1414203896.0
2022,50.6577446303517,1.96929618962877,24.4494970049005,2279.98145719369,1425423212.0
2023,54.0522242217331,2.09622858892568,24.5390304689576,2434.44826340989,1438069596.0
2024,,2.17365173535787,,2591.9916607122,1450935791.0
